
==========

Using device:  cuda
Model: vit_base
Learning Rate: 0.0003
LR Scheduler: None
Epochs: 5
Batch Size: 4

==========Starting Training========

Epoch [1/5] - Batch [216/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [217/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [218/8000] Loss: 3.60, CurLR: 0.0003
Epoch [1/5] - Batch [219/8000] Loss: 3.61, CurLR: 0.0003
Epoch [1/5] - Batch [220/8000] Loss: 3.59, CurLR: 0.0003
Epoch [1/5] - Batch [221/8000] Loss: 3.77, CurLR: 0.0003
Epoch [1/5] - Batch [222/8000] Loss: 3.52, CurLR: 0.0003
Epoch [1/5] - Batch [223/8000] Loss: 3.94, CurLR: 0.0003
Epoch [1/5] - Batch [224/8000] Loss: 3.42, CurLR: 0.0003
Epoch [1/5] - Batch [225/8000] Loss: 4.07, CurLR: 0.0003
Epoch [1/5] - Batch [226/8000] Loss: 3.39, CurLR: 0.0003
Epoch [1/5] - Batch [227/8000] Loss: 3.95, CurLR: 0.0003
Epoch [1/5] - Batch [228/8000] Loss: 3.91, CurLR: 0.0003
Epoch [1/5] - Batch [229/8000] Loss: 4.18, CurLR: 0.0003
Epoch [1/5] - Batch [230/8000] Loss: 4.04, CurLR: 0.0003
Epoch [1/5] - Batch [231/8000] Loss: 3.70, CurLR: 0.0003
Epoch [1/5] - Batch [232/8000] Loss: 3.54, CurLR: 0.0003
Epoch [1/5] - Batch [233/8000] Loss: 3.63, CurLR: 0.0003
Epoch [1/5] - Batch [234/8000] Loss: 3.96, CurLR: 0.0003
Epoch [1/5] - Batch [235/8000] Loss: 3.71, CurLR: 0.0003
Epoch [1/5] - Batch [236/8000] Loss: 4.02, CurLR: 0.0003
Epoch [1/5] - Batch [237/8000] Loss: 3.57, CurLR: 0.0003
Epoch [1/5] - Batch [238/8000] Loss: 3.40, CurLR: 0.0003
Epoch [1/5] - Batch [239/8000] Loss: 4.41, CurLR: 0.0003
Epoch [1/5] - Batch [240/8000] Loss: 3.76, CurLR: 0.0003
Epoch [1/5] - Batch [241/8000] Loss: 3.66, CurLR: 0.0003
Epoch [1/5] - Batch [242/8000] Loss: 3.55, CurLR: 0.0003
Epoch [1/5] - Batch [243/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [244/8000] Loss: 4.04, CurLR: 0.0003
Epoch [1/5] - Batch [245/8000] Loss: 3.34, CurLR: 0.0003
Epoch [1/5] - Batch [246/8000] Loss: 3.91, CurLR: 0.0003
Epoch [1/5] - Batch [247/8000] Loss: 3.47, CurLR: 0.0003
Epoch [1/5] - Batch [248/8000] Loss: 4.08, CurLR: 0.0003
Epoch [1/5] - Batch [249/8000] Loss: 3.61, CurLR: 0.0003
Epoch [1/5] - Batch [250/8000] Loss: 3.64, CurLR: 0.0003
Epoch [1/5] - Batch [251/8000] Loss: 3.39, CurLR: 0.0003
Epoch [1/5] - Batch [252/8000] Loss: 3.71, CurLR: 0.0003
Epoch [1/5] - Batch [253/8000] Loss: 3.59, CurLR: 0.0003
Epoch [1/5] - Batch [254/8000] Loss: 3.63, CurLR: 0.0003
Epoch [1/5] - Batch [255/8000] Loss: 3.42, CurLR: 0.0003
Epoch [1/5] - Batch [256/8000] Loss: 3.42, CurLR: 0.0003
Epoch [1/5] - Batch [257/8000] Loss: 3.62, CurLR: 0.0003
Epoch [1/5] - Batch [258/8000] Loss: 3.83, CurLR: 0.0003
Epoch [1/5] - Batch [259/8000] Loss: 3.90, CurLR: 0.0003
Epoch [1/5] - Batch [260/8000] Loss: 4.19, CurLR: 0.0003
Epoch [1/5] - Batch [261/8000] Loss: 4.15, CurLR: 0.0003
Epoch [1/5] - Batch [262/8000] Loss: 3.62, CurLR: 0.0003
Epoch [1/5] - Batch [263/8000] Loss: 3.40, CurLR: 0.0003
Epoch [1/5] - Batch [264/8000] Loss: 4.00, CurLR: 0.0003
Epoch [1/5] - Batch [265/8000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [266/8000] Loss: 3.82, CurLR: 0.0003
Epoch [1/5] - Batch [267/8000] Loss: 3.77, CurLR: 0.0003
Epoch [1/5] - Batch [268/8000] Loss: 3.70, CurLR: 0.0003
Epoch [1/5] - Batch [269/8000] Loss: 3.60, CurLR: 0.0003
Epoch [1/5] - Batch [270/8000] Loss: 3.88, CurLR: 0.0003
Epoch [1/5] - Batch [271/8000] Loss: 3.72, CurLR: 0.0003
Epoch [1/5] - Batch [272/8000] Loss: 3.19, CurLR: 0.0003
Epoch [1/5] - Batch [273/8000] Loss: 3.28, CurLR: 0.0003
Epoch [1/5] - Batch [274/8000] Loss: 3.96, CurLR: 0.0003
Epoch [1/5] - Batch [275/8000] Loss: 3.82, CurLR: 0.0003
Epoch [1/5] - Batch [276/8000] Loss: 4.10, CurLR: 0.0003
Epoch [1/5] - Batch [277/8000] Loss: 3.63, CurLR: 0.0003
Epoch [1/5] - Batch [278/8000] Loss: 3.61, CurLR: 0.0003
Epoch [1/5] - Batch [279/8000] Loss: 3.76, CurLR: 0.0003
Epoch [1/5] - Batch [280/8000] Loss: 3.59, CurLR: 0.0003
Epoch [1/5] - Batch [281/8000] Loss: 3.54, CurLR: 0.0003
Epoch [1/5] - Batch [282/8000] Loss: 3.77, CurLR: 0.0003
Epoch [1/5] - Batch [283/8000] Loss: 3.76, CurLR: 0.0003
Epoch [1/5] - Batch [284/8000] Loss: 3.69, CurLR: 0.0003
Epoch [1/5] - Batch [285/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [286/8000] Loss: 3.65, CurLR: 0.0003
Epoch [1/5] - Batch [287/8000] Loss: 3.84, CurLR: 0.0003
Epoch [1/5] - Batch [288/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [289/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [290/8000] Loss: 4.21, CurLR: 0.0003
Epoch [1/5] - Batch [291/8000] Loss: 3.88, CurLR: 0.0003
Epoch [1/5] - Batch [292/8000] Loss: 3.82, CurLR: 0.0003
Epoch [1/5] - Batch [293/8000] Loss: 3.93, CurLR: 0.0003
Epoch [1/5] - Batch [294/8000] Loss: 3.63, CurLR: 0.0003
